역대 박스오피스 검색 리스트 (통합전산망 집계 기준),,,,,,,,,
,,,,,,,,,
순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
170,분노의 질주: 더 세븐,2015-04-01,"26,466,421,694","3,248,904",983,"93,616",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
171,터미네이터 제니시스,2015-07-02,"26,556,715,129","3,240,370","1,113","77,590",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
172,그래비티,2013-10-17,"31,486,284,600","3,227,647",636,"81,631",미국,미국,워너브러더스 코리아(주)
173,아일랜드,2005-07-21,"20,363,994,500","3,218,811",340,"35,990",미국,미국,워너브러더스 코리아(주)
174,다이 하드 4 : 죽어도 산다,2007-07-17,"20,622,308,900","3,176,937",528,"47,011",미국,미국,이십세기폭스필름코퍼레이션
175,공공의 적 2,2005-01-27,"20,091,142,000","3,134,424",299,"40,643",한국,한국,(주)시네마서비스
176,캐리비안의 해적: 낯선 조류,2011-05-19,"27,279,967,500","3,130,046",960,"67,036",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
177,퀵,2011-07-20,"22,960,890,000","3,125,069",514,"60,714",한국,한국,씨제이이앤엠(주)
178,친절한 금자씨,2005-07-29,"20,491,973,593","3,120,784",386,"41,467",한국,한국,씨제이엔터테인먼트
179,감기,2013-08-14,"21,774,884,000","3,117,859",806,"55,046",한국,한국,아이러브시네마
180,나우 유 씨 미 2,2016-07-13,"25,116,690,113","3,100,113","1,200","56,983",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
181,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,"24,975,495,122","3,049,894","1,357","85,225",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
182,스물,2015-03-25,"23,563,705,686","3,044,859",926,"100,167",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
183,토르: 다크 월드,2013-10-30,"22,525,808,500","3,039,889",733,"78,095",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
184,거북이 달린다,2009-06-11,"20,618,276,000","3,024,666",432,"69,946",한국,한국,(주)쇼박스
185,다빈치 코드,2006-05-18,"18,873,057,800","3,022,936",514,"42,856",미국,미국,소니픽쳐스릴리징코리아
186,헬로우 고스트,2010-12-22,"22,057,866,500","3,019,960",472,"57,579",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
187,하모니,2010-01-28,"21,641,865,000","3,018,154",384,"77,732",한국,한국,씨제이엔터테인먼트
188,오싹한 연애,2011-12-01,"22,011,287,000","3,009,406",544,"62,079",한국,한국,씨제이이앤엠(주)
189,레드: 더 레전드,2013-07-18,"21,511,371,970","3,004,649",739,"55,733",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
190,드래곤 길들이기 2,2014-07-23,"23,980,525,189","3,000,115",829,"51,927",미국,미국,씨제이이앤엠(주)
191,방자전,2010-06-02,"22,490,392,000","2,985,556",495,"67,573",한국,한국,씨제이엔터테인먼트
192,형,2016-11-23,"23,130,188,893","2,982,230",993,"83,591",한국,한국,씨제이이앤엠(주)
193,마더,2009-05-28,"19,971,510,600","2,979,805",642,"71,419",한국,한국,씨제이엔터테인먼트
194,그놈 목소리,2007-02-01,"17,598,617,600","2,972,299",498,"48,673",한국,한국,씨제이엔터테인먼트
195,친구 2,2013-11-14,"21,804,687,513","2,971,475",968,"69,865",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
196,식객,2007-11-01,"18,984,549,500","2,965,359",406,"67,339",한국,한국,씨제이엔터테인먼트
197,26년,2012-11-29,"21,242,367,145","2,963,652",611,"50,679",한국,한국,"(주)인벤트스톤,영화사청어람(주)"
198,미스터 & 미세스 스미스,2005-06-16,"18,900,071,500","2,963,193",302,"45,087",미국,미국,이십세기폭스필름코퍼레이션
199,해리 포터와 혼혈 왕자,2009-07-15,"20,267,484,000","2,957,736",751,"48,115",미국,미국,워너브러더스 코리아(주)
200,고지전,2011-07-20,"21,968,680,600","2,945,151",585,"53,745",한국,한국,(주)쇼박스
합계,,,"8,380,825,761,157","1,113,797,001","1,113,797,001","182,770",,,
